,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
77,-73.79122120000001,40.6984953,164- 6,107 Avenue,,New York,Queens,NY,,QUEE343709,2a7dd7b177436dcf
78,-75.11822059999999,41.8732496,1774,Hoolihan Brook Road,,Hancock,Delaware,NY,,DELA009824,74f7ba3b3ac65eb4
79,-74.8311429,42.24943579999999,35,Lee Hollow Road,,Bovina,Delaware,NY,,DELA023556,00929b417757e68c
80,-77.3156317,43.0669639,12,Kemp Drive,,Macedon,Wayne,NY,,WAYN025298,9ed9d92dd854c587
81,-77.1890311,43.2165803,5962,Route 21,,Williamson,Wayne,NY,,WAYN029068,b049e94ad2991c21
82,-76.8347353,43.2020784,5540,Stone Road,,Huron,Wayne,NY,,WAYN026029,580b478fb85436ae
83,-77.103887,43.0633976,187,West Pearl Street,,Arcadia,Wayne,NY,,WAYN013681,f307131cfefab763
84,-76.1380785,43.0717342,321,Woodruff Avenue,,Syracuse,Onondaga,NY,,ONON069026,aee5b25ffe161e8e
85,-73.7430378,42.5290878,114,Green Avenue,Suite 1,Schodack,Rensselaer,NY,,RENS068791,8183de7d04b265e3
86,-73.6937445,42.5881134,2703,Coventry Lane,,East Greenbush,Rensselaer,NY,,RENS023120,ec626278f7a58d43
87,-73.73324759999998,42.659042299999996,20,Forbes Avenue,,Rensselaer,Rensselaer,NY,,RENS021922,40499bbd1efdb5a3
88,-73.6884528,42.727263,1496,5th Avenue,Apartment A,Troy,Rensselaer,NY,,RENS076770,86cea1d91a0cf2a8
89,-73.9349854,42.8054953,862,Albany Street,,Schenectady,Schenectady,NY,,SCHE043469,d9f1250b9b9131a3
90,-74.05281,42.322511,337,Roosevelt Avenue,,Cairo,Greene,NY,,GREE016959,3ae5497b381b6dc4
91,-74.24089709999998,42.3647995,825,Mitchell Hollow Road,,Windham,Greene,NY,,GREE028422,c411bce147d32a77
92,-74.319502,42.0909515,172,State Route 214,,Shandaken,Ulster,NY,,ULST053396,5e4bd79f60714714
93,-75.6474523,42.541789200000004,1663,County Road 10,,Preston,Chenango,NY,,CHEN012876,d6de3c82be6ddfeb
94,-74.3899567,41.5190425,757,Goshen Turnpike,Apartment 4,Wallkill,Orange,NY,,ORAN146549,fcb779aff4d427e4
95,-74.0268619,41.4905434,224,Walsh Avenue,Apartment 6,New Windsor,Orange,NY,,ORAN152446,510f790855636acf
96,-74.1366046,41.392026,30,Woodycrest Trail,,Blooming Grove,Orange,NY,,ORAN023239,dde427a23bf3d853
97,-74.1699268,41.299402799999996,108,Circle Drive,,Monroe,Orange,NY,,ORAN012638,1dee1b8fc2c98a4c
98,-73.9916822,41.3325162,65,Tamsen Lane,,Highlands,Orange,NY,,ORAN123717,6a247c4d336237bd
99,-74.2795403,41.2346093,4,Minsis Lane,,Warwick,Orange,NY,,ORAN063129,41372a12d6cadec2
